AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
1.074626,0.316870723846392,1.0,3.0,31.124925,10.176087295511099,0.0,85.95,67,61,Packaged Grocery
0.9573860000000001,0.8737694789181479,0.0,9.0,27.905510999999997,22.2506760175377,0.0,255.51,704,221,Packaged Grocery
1.863636,1.6123173073458898,0.0,6.0,6.3609089999999995,5.586920873655259,0.0,20.64,22,21,Body Care
0.9864860000000001,0.30830867310437604,0.0,3.0,15.663917999999999,5.3397707707857505,0.0,48.63,148,104,Packaged Tea
1.060287,0.308254749034459,0.0,3.0,23.900066,6.88097435958537,0.0,69.06,1045,269,Packaged Grocery
2.404958,2.09196284382513,0.0,12.0,7.455537,6.574524437860269,0.0,37.68,121,94,Body Care
2.558502,2.14186548445745,1.0,16.0,26.401184999999998,21.973922538250697,10.26,164.16,641,226,Vitamins
1.192893,0.7634272045370799,1.0,7.0,31.552246000000004,9.17559880185501,0.0,95.67,788,233,Packaged Grocery
1.058857,0.47751504566552205,0.0,15.0,17.759131,8.08726361467926,0.0,252.15,1716,282,Packaged Grocery
1.018433,0.134822710766598,1.0,2.0,17.753870000000003,2.4413901515658103,14.82,32.94,217,146,Packaged Grocery
1.2024920000000001,0.9724786632743492,0.0,12.0,18.536448,14.927683516083802,0.0,186.36,1284,262,Packaged Grocery
0.9264700000000001,0.52734696359945,0.0,3.0,26.3125,14.326664251740198,0.0,73.5,68,60,Packaged Grocery
0.9775280000000001,0.42580213314209203,0.0,4.0,9.392921000000001,8.37322806251719,0.0,46.0,89,53,Packaged Grocery
0.75,0.550119604220181,0.0,2.0,15.4835,11.344639019099901,0.0,41.14,20,20,Packaged Grocery
3.886537,3.47859857725691,0.0,36.0,11.06766,9.82884628163435,0.0,102.96,1701,265,Body Care
0.865079,0.502633298459139,0.0,2.0,13.396428,8.290441956345331,0.0,62.48,252,164,Packaged Grocery
0.881136,0.44207057130856603,0.0,3.0,8.199082,4.10941245154408,0.0,29.04,774,243,Packaged Grocery
1.27835,0.6730259411982371,0.0,3.0,7.9184529999999995,8.24310258895862,0.0,38.13,97,60,Packaged Grocery
1.0132889999999999,0.11470024489686999,1.0,2.0,29.899334999999997,4.204506339278209,26.81,62.36,301,181,Packaged Grocery
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,39,Frozen
1.940764,1.2999708490143798,0.0,12.0,13.099719,8.71924082321747,0.0,79.92,1570,280,Refrigerated Grocery
1.054557,0.354255580389293,0.0,7.0,14.931354999999998,4.88529503569635,0.0,77.0,2951,282,Refrigerated Grocery
0.923076,0.30184892036318606,0.0,2.0,9.799807000000001,3.3898661029115,0.0,22.34,104,82,Packaged Grocery
1.0,0.0,1.0,1.0,20.200217000000002,1.3550325771082499,16.83,21.45,46,44,Packaged Grocery
1.0,0.0,1.0,1.0,34.718656,0.866635597675744,33.98,38.01,67,55,Packaged Grocery
0.631103,0.504948388675555,0.0,3.0,25.15311,20.234793881441,0.0,101.37,553,208,Packaged Grocery
0.8664040000000001,0.625342140630233,0.0,10.0,9.725375999999999,6.7724373630538794,0.0,89.7,1527,271,Refrigerated Grocery
1.0731700000000002,0.263651654881875,1.0,2.0,22.074146,6.02322130409037,18.42,42.82,41,36,Packaged Grocery
1.04518,0.612763010721513,0.0,9.0,30.390365999999997,17.1741599184412,0.0,224.8,4316,293,Refrigerated Grocery
1.069333,0.468805893874968,0.0,6.0,18.971813,8.26799595614547,0.0,105.84,375,174,Packaged Grocery
1.021857,0.376811193635984,0.0,5.0,22.420819,8.17832312820372,0.0,105.95,366,187,Body Care
1.146675,0.8119823327160992,0.0,25.0,17.136672,12.163602158895,0.0,374.0,2918,285,Packaged Grocery
0.9285709999999999,0.258379638029533,0.0,1.0,36.805584,10.264542241814901,0.0,41.94,154,117,Frozen
0.950549,0.511869823838221,0.0,6.0,27.437252,14.2252553369529,0.0,160.56,364,168,Packaged Grocery
1.013888,0.26407540539743496,0.0,2.0,14.623401999999999,5.7500560244391,0.0,32.1,144,112,Packaged Tea
2.545741,1.76932268535752,0.0,25.0,26.74772,18.425752304797896,0.0,237.0,1268,262,Vitamins
2.015765,1.24520719049795,0.0,8.0,9.768108,5.909951627645349,0.0,34.0,444,210,Body Care
1.126609,0.711699530230287,1.0,8.0,38.034549,11.9002724424731,0.0,188.76,466,209,Packaged Grocery
0.7967029999999999,0.4894367481681579,0.0,4.0,36.290796,22.3801992293486,0.0,172.92,364,201,Packaged Grocery
1.196485,0.636028009912277,0.0,8.0,11.439888,6.0394235608604205,0.0,76.0,626,227,Body Care
0.7598729999999999,0.5312388234797971,0.0,5.0,14.841657999999999,11.5614882419542,0.0,107.2,1266,252,Refrigerated Grocery
1.043636,0.20465712501363198,1.0,2.0,21.35349,4.41825619097369,18.42,43.5,275,172,Packaged Grocery
0.9472219999999999,0.44782738362175895,0.0,4.0,15.176916,6.7394463617741796,0.0,58.04,360,186,Packaged Grocery
3.088082,2.38447640872348,0.0,18.0,12.879014999999999,9.96576631519665,0.0,77.94,386,194,Body Care
3.879487,3.35834757745413,1.0,24.0,8.126846,7.1942147603057895,0.0,53.04,390,172,Body Care
