index,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
4353,0.9784010000000001,0.496271852602301,0.0,4.0,8.780302,4.47130203628797,0.0,35.88,463,192,Packaged Grocery
1323,1.044989,0.465845166815097,0.0,5.0,16.533824,7.24244304547084,0.0,81.0,978,254,Packaged Grocery
5863,1.0,0.27794463276724796,-1.0,2.0,109.17948700000001,30.230762090293396,-108.0,216.0,234,152,Refrigerated Grocery
1812,0.9163629999999999,0.529653392032895,0.0,6.0,8.803927,5.05892634764376,0.0,60.36,1100,264,Refrigerated Grocery
769,2.888187,1.95991767881999,0.0,24.0,8.223155,5.53195888380139,0.0,59.52,1109,271,Body Care
5793,0.423913,0.5185291042129749,0.0,2.0,5.358043,6.70155865733109,0.0,25.82,92,64,Packaged Grocery
3155,0.136986,0.346212382358907,0.0,1.0,2.533835,7.29179859502308,0.0,25.86,73,65,Packaged Tea
2505,0.357142,0.48795003647426705,0.0,1.0,10.972857000000001,15.0516195405561,0.0,33.86,28,27,Packaged Grocery
3425,3.2822690000000003,1.4908948887531,0.0,7.0,10.044851,4.50390178215487,0.0,21.14,705,243,Packaged Grocery
4738,1.057007,0.47467239072915296,0.0,8.0,28.785771,12.38042339784,0.0,208.4,421,204,Packaged Grocery
2163,1.022641,0.358152619741942,0.0,3.0,13.856264000000001,4.73168366532973,0.0,35.34,265,161,Packaged Grocery
881,4.198237000000001,3.73757207445131,0.0,30.0,12.786585,10.662655655372902,0.0,81.9,454,169,Body Care
6880,1.256672,1.49580096666881,0.0,66.0,29.954525,32.1308339610866,0.0,1340.46,3222,290,Packaged Grocery
2172,1.0015399999999999,0.795788664679908,0.0,8.0,13.237797,10.272559428462,0.0,99.92,3246,293,Refrigerated Grocery
6301,0.30303,0.769937030089494,0.0,4.0,2.837575,7.22064143199162,0.0,37.52,33,31,Packaged Grocery
6912,1.2570709999999998,0.946142217201061,0.0,18.0,20.075628,15.191692756858401,0.0,311.94,2404,285,Packaged Grocery
37,0.9078940000000001,1.29797412998305,0.0,6.0,4.626052,6.59323533711078,0.0,32.04,76,68,Body Care
5919,0.48829399999999995,1.1479614702808798,0.0,14.0,9.197491000000001,23.191550664207398,0.0,282.1,299,132,Packaged Grocery
1768,1.09921,0.48367181891801597,0.0,6.0,17.184677999999998,7.48749522499174,0.0,97.44,887,256,Packaged Grocery
889,1.006097,0.23453907480143202,0.0,4.0,18.074695000000002,3.82302399220712,0.0,60.56,328,194,Packaged Grocery
6815,2.9031830000000003,1.5314031795048202,1.0,8.0,9.120928,4.75852923338542,1.81,24.56,754,251,Packaged Grocery
3355,1.185567,1.4529416777353301,0.0,6.0,11.201236999999999,13.999840940892,0.0,58.68,97,83,Vitamins
4079,0.901015,0.434062965436445,0.0,4.0,19.739746,9.68176363461438,0.0,96.56,788,250,Frozen
1830,3.568435,3.1991359515385,0.0,24.0,3.530586,3.12307123216276,0.0,24.72,716,242,Body Care
6044,0.095238,0.3007926037591189,0.0,1.0,1.010476,4.6305836308077595,0.0,21.22,21,21,Packaged Grocery
1415,2.7891369999999998,2.22751087589265,0.0,24.0,12.110926,9.117355074904712,0.0,98.88,313,167,Body Care
367,1.121702,0.52484218671815,0.0,11.0,17.035659,7.612018916420911,0.0,154.99,2161,278,Frozen
824,1.030425,0.23227231419696398,0.0,4.0,49.303427,11.1105880164155,0.0,190.32,493,201,Frozen
3220,1.0508469999999999,0.261021525841278,0.0,3.0,21.147768,5.384361670591249,0.0,61.11,708,237,Packaged Grocery
3522,1.220068,0.948759581860697,0.0,9.0,23.714320999999998,17.882255672781202,0.0,167.31,877,231,Packaged Grocery
1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,Packaged Grocery
6533,1.0,0.185695338177052,0.0,2.0,13.57305,25.5090686548,0.0,106.7,59,25,Packaged Grocery
5780,2.513274,1.70668352288347,0.0,12.0,8.996106,5.8432117870758296,0.0,36.12,113,85,Packaged Grocery
2004,2.0621110000000002,1.38152742007619,0.0,6.0,9.738944,6.63424473871032,0.0,28.92,161,111,Body Care
3696,0.8870959999999999,1.8386099409802499,0.0,10.0,19.829516,41.1088953888316,0.0,221.9,62,23,Refrigerated Grocery
2964,1.055583,1.3811673110258302,0.0,30.0,80.29450200000001,105.193298629238,0.0,2284.2,1961,270,Packaged Grocery
3554,2.9977009999999997,1.8928666122748898,0.0,12.0,17.009586,10.751453907202698,0.0,68.88,435,199,Packaged Grocery
3040,1.035714,0.26726124191242395,1.0,3.0,21.712857,7.287081150111559,0.0,64.71,56,51,Packaged Grocery
6992,1.168591,0.523763877465224,1.0,5.0,39.117313,17.4090941230294,0.0,177.75,1299,266,Packaged Grocery
7044,1.887417,1.9884434326297098,0.0,9.0,7.160330999999999,7.4354218366966105,0.0,35.01,151,109,Body Care
1955,1.383838,1.23651121056536,0.0,16.0,108.171171,93.1760782387644,0.0,1231.04,990,244,Packaged Grocery
6982,1.390226,1.02369912107108,0.0,17.0,18.399653,12.927299026224,0.0,236.81,2742,282,Packaged Grocery
6421,1.3271879999999998,0.997735811011208,-5.0,8.0,55.095241,37.4832755331417,-120.0,297.92,868,224,Meat
2916,1.077185,0.33157924262367794,1.0,5.0,9.587309,3.0174276605782597,0.0,45.65,881,261,Packaged Grocery
2371,1.041269,0.5926510515322889,0.0,8.0,19.853698,10.672513041954199,0.0,127.28,630,235,Refrigerated Grocery
1567,1.063444,0.497857395288411,0.0,6.0,23.324259,11.1313419307743,0.0,138.66,1986,275,Refrigerated Grocery
3095,1.0794700000000002,0.35633652274120503,1.0,4.0,19.102185000000002,6.50462675270864,0.0,70.88,151,105,Packaged Grocery
6538,1.0,0.0,1.0,1.0,40.035,3.75473700810064,37.38,42.69,2,2,Frozen
6112,2.2643169999999997,1.59665159747832,0.0,12.0,8.817621,6.15546512890612,0.0,46.08,227,143,Body Care
2618,0.565217,0.9920633665850981,-2.0,2.0,100.742173,76.6428616112967,-13.76,273.04,23,18,Meat
1644,1.064957,0.87539778035789,0.0,10.0,24.81547,20.106037296801,0.0,241.9,585,200,Packaged Grocery
2403,1.465226,1.71107048932709,-30.0,30.0,34.884679999999996,30.0842251061752,-90.0,682.5,2344,282,Meat
2744,1.251292,0.8302858672181178,0.0,7.0,29.605594,19.5314529166759,0.0,169.33,967,251,Packaged Grocery
4504,1.02357,0.270559228824024,0.0,5.0,33.058865999999995,8.698813699492769,0.0,158.8,1994,275,Packaged Grocery
4932,1.131156,1.03803321326096,0.0,12.0,8.812282000000002,7.94310676364773,0.0,91.32,3675,250,Refrigerated Grocery
6184,1.0699299999999998,0.35487953037568704,0.0,4.0,28.987878000000002,8.313577281707241,0.0,100.4,429,217,Packaged Grocery
1895,0.9472219999999999,0.44782738362175895,0.0,4.0,15.176916,6.7394463617741796,0.0,58.04,360,186,Packaged Grocery
319,1.1257,2.41682150731358,0.0,132.0,12.948425,27.8221154570825,0.0,1519.32,3214,290,Packaged Grocery
3520,1.336956,0.6997200996606341,0.0,3.0,12.241195,6.1705765563861705,0.0,29.79,92,77,Vitamins
2533,1.06224,0.483332140981979,1.0,6.0,21.528381,4.20210555797116,0.0,45.16,241,139,Packaged Grocery
4494,1.4151690000000001,1.2974164409154398,0.0,10.0,29.962375,27.8156528189958,0.0,239.1,501,231,Vitamins
4365,1.1280270000000001,0.618754842232867,0.0,6.0,35.858269,19.778371844762198,0.0,198.78,289,156,Meat
6772,1.0668819999999999,0.37734620997842794,0.0,7.0,18.835867999999998,6.5850092268954405,0.0,123.34,927,258,Packaged Grocery
6722,2.045454,1.4295581008256901,0.0,8.0,10.662443,7.63436548001649,0.0,43.36,176,124,Body Care
920,1.1408690000000001,0.517279073374859,1.0,6.0,36.165182,16.1054045160894,0.0,199.68,575,224,Packaged Grocery
1434,1.101449,0.440468481062709,0.0,4.0,9.835362,4.02957844228294,0.0,35.84,138,96,Packaged Grocery
1059,1.1280139999999999,0.719054232048515,0.0,6.0,24.799460999999997,14.6507226272906,0.0,124.38,539,194,Packaged Grocery
4675,1.1117219999999999,0.47302568429644803,0.0,10.0,38.172399,15.132350403842,0.0,305.4,2363,282,Packaged Grocery
460,1.0526309999999999,0.8988692121757421,0.0,4.0,22.081052,20.1125410371273,0.0,87.36,38,33,Body Care
1231,1.688073,2.11562637474728,0.0,12.0,5.615596,7.26336398331107,0.0,46.08,109,89,Body Care
4092,1.024096,0.219528519979381,0.0,2.0,11.44265,2.69990202366829,0.0,23.76,83,68,Packaged Tea
1580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,Packaged Grocery
2658,0.856,0.540771425779653,0.0,4.0,19.0204,11.9596625854004,0.0,81.32,250,133,Packaged Grocery
2170,1.8157889999999999,1.39216462132148,1.0,6.0,14.825263,9.190135350837561,5.38,49.68,38,37,Vitamins
3394,1.399126,0.971638239378653,0.0,12.0,13.563787,8.7140226669022,0.0,100.2,1373,266,Packaged Grocery
6193,1.190944,0.7468186144720259,0.0,12.0,21.506698999999998,12.347196089772401,0.0,200.4,1524,268,Packaged Grocery
306,0.15,0.358192527549714,0.0,1.0,6.918311999999999,16.526267759698502,0.0,49.2,160,106,Packaged Grocery
3470,0.8421049999999999,0.40175055540960997,0.0,2.0,16.911447,8.063072152961299,0.0,39.92,76,65,Packaged Grocery
2171,1.123945,0.7561122952674909,0.0,10.0,17.404229,11.619315393373,0.0,157.9,4147,291,Refrigerated Grocery
2953,3.106145,1.6213073547493002,0.0,12.0,7.554785000000001,4.05585085032694,0.0,31.56,537,223,Packaged Grocery
361,1.310368,0.6991575559099311,0.0,10.0,21.709723999999998,11.533239935836699,0.0,168.0,4398,293,Refrigerated Grocery
3540,1.287356,0.9633764022896971,1.0,6.0,48.085402,37.513980550654395,0.0,229.98,87,75,Packaged Grocery
3634,1.609609,1.2592173910056499,0.0,20.0,27.401996,20.9221003176939,0.0,315.8,7472,291,Refrigerated Grocery
4540,0.5,0.577350269189626,0.0,1.0,4.1925,8.385,0.0,16.77,4,4,Packaged Grocery
1216,0.962305,0.32781838391210805,0.0,3.0,19.860665,7.05741882315552,0.0,69.75,451,211,Frozen
1903,1.188473,1.09358984251293,0.0,10.0,23.284953,20.8317287996814,0.0,196.6,1284,249,Packaged Grocery
6050,1.22,0.652958279716375,0.0,4.0,11.685066,6.19849515092244,0.0,38.0,300,171,Body Care
6928,1.126339,0.5302358386603251,0.0,8.0,24.858681,11.7318139080346,0.0,184.88,2707,281,Refrigerated Grocery
3163,1.113733,0.614839937086826,1.0,8.0,37.425504,16.6133841215097,0.0,293.28,932,258,Packaged Grocery
4442,0.496183,0.517003880383098,0.0,2.0,7.944350999999999,8.486150989359679,0.0,34.0,131,99,Packaged Grocery
3161,1.168217,0.683676967909982,0.0,8.0,18.711248,11.000564055311198,0.0,128.4,1290,251,Packaged Tea
3693,1.019607,0.314040804464275,0.0,4.0,19.149803,6.4164738443194995,0.0,76.44,102,89,Packaged Grocery
5815,2.29885,4.54324928419688,0.0,30.0,47.838429,92.44265744557421,0.0,612.0,261,135,Packaged Grocery
7059,1.296296,0.7679826459721121,0.0,3.0,11.068147999999999,5.954282135675371,0.0,29.79,54,51,Vitamins
2129,1.1093110000000002,0.5704390799077329,0.0,3.0,29.441659,15.158016717588902,0.0,83.79,247,163,Packaged Grocery
2265,0.025,0.15811388300841903,0.0,1.0,0.0,0.0,0.0,0.0,40,37,Packaged Grocery
2663,2.1578939999999998,1.27880348211313,0.0,6.0,10.976842,6.42878186581218,0.0,30.3,57,54,Body Care
643,1.218804,0.6485191654474161,0.0,8.0,30.673505,15.978291609857399,0.0,206.16,5201,293,Refrigerated Grocery
2369,1.0930229999999999,1.30591973589082,0.0,6.0,94.183255,118.53879490981501,0.0,535.44,43,37,Refrigerated Grocery
1647,1.306613,0.941562775708739,0.0,18.0,30.334315000000004,20.9406125529564,0.0,387.54,1497,257,Packaged Grocery
610,0.523255,0.523236207517329,0.0,2.0,12.008023,12.1989279193206,0.0,47.32,258,165,Packaged Grocery
4002,2.102649,1.50505006019844,0.0,16.0,27.065794,18.273988335844397,0.0,177.44,302,172,Body Care
7053,1.087301,0.335137972061449,1.0,3.0,13.011031,3.7240081266001703,11.78,36.24,126,100,Packaged Grocery
2463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Packaged Grocery
196,0.9419639999999999,0.252747554039659,0.0,2.0,15.415357,4.457911077211519,0.0,29.34,224,157,Packaged Grocery
480,1.032956,0.227307896682119,0.0,6.0,16.424670000000003,3.69080098388408,0.0,73.44,2124,283,Packaged Grocery
3627,2.931506,3.48964932777426,0.0,25.0,20.373776,23.619171234923602,0.0,165.75,511,170,Body Care
2806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,Packaged Grocery
6862,0.9774430000000001,0.193303240090022,0.0,2.0,24.222706,4.94188792409061,0.0,49.94,133,108,Frozen
6795,1.010035,0.352888174522985,0.0,6.0,18.176995,6.4006564288822805,0.0,106.92,1694,275,Packaged Grocery
3809,2.525641,2.0713803535468,1.0,36.0,9.394666,7.019033205100469,0.0,118.44,1170,265,Body Care
2452,1.0915030000000001,0.477926953295813,1.0,6.0,12.724771,5.1455645290216,1.76,63.24,153,116,Packaged Tea
398,0.9775280000000001,0.451702035987916,0.0,3.0,50.855616999999995,24.768097743002897,0.0,175.47,89,73,Vitamins
5910,1.265205,0.933548851589081,0.0,11.0,31.546771999999997,16.331271331262,0.0,199.36,1825,277,Packaged Grocery
2484,0.5,0.522232967867094,0.0,1.0,15.0525,15.809087792095498,0.0,32.83,12,12,Vitamins
128,1.111764,0.467123075835185,0.0,3.0,12.487822999999999,4.93544545731842,0.0,31.29,170,116,Packaged Tea
725,1.0,0.0,1.0,1.0,23.458,2.91581378006208,21.33,26.8,5,5,Packaged Grocery
4001,0.574647,0.564415179022053,0.0,4.0,5.6588449999999995,5.519026572873809,0.0,37.08,355,193,Refrigerated Grocery
4624,0.75862,0.87240113700199,0.0,4.0,15.782413,17.2133309333975,0.0,76.52,29,23,Packaged Grocery
6011,0.984873,0.49977105819677203,0.0,12.0,18.312742,8.89511412176782,0.0,189.6,3041,290,Refrigerated Grocery
2750,1.223498,1.28089912183397,0.0,30.0,13.883122,14.5620382390816,0.0,340.8,2264,285,Packaged Grocery
2386,0.975917,0.23595876689125697,0.0,2.0,27.482259000000003,7.58407406285339,0.0,61.44,872,263,Refrigerated Grocery
3184,0.125,0.353553390593274,0.0,1.0,4.2075,11.9006071273696,0.0,33.66,8,8,Packaged Grocery
6136,1.868852,1.09155715725866,1.0,6.0,14.098087,8.039702112531769,6.25,48.78,183,135,Body Care
2020,1.4189370000000001,1.5076857252458102,0.0,50.0,31.520415000000003,27.976209742648,0.0,746.0,2165,274,Packaged Grocery
2143,0.610526,0.529603323453688,0.0,4.0,15.457621,13.697907660897501,0.0,94.32,475,203,Packaged Grocery
3695,1.337349,0.8005654774905251,0.0,6.0,12.05759,6.461187799574421,0.0,46.74,83,73,Vitamins
5801,1.257009,0.9424727609728101,0.0,8.0,43.818387,23.241016288013,0.0,326.64,856,238,Packaged Grocery
6660,0.549242,0.6188036319190781,0.0,6.0,6.924810000000001,7.7965753752883895,0.0,74.82,1584,284,Refrigerated Grocery
6099,1.445378,1.5037973610473,0.0,35.0,14.017466,14.1997421506701,0.0,359.45,1547,274,Packaged Grocery
1507,1.4197799999999998,0.8469819885285009,0.0,9.0,21.976256,12.942717029498198,0.0,125.04,3104,281,Frozen
4087,0.658333,0.589469688311765,0.0,4.0,14.132370000000002,12.672018773940101,0.0,90.12,1080,273,Refrigerated Grocery
1304,1.438596,2.58441443947898,0.0,16.0,66.13228000000001,118.805531782849,0.0,735.52,57,14,Packaged Grocery
2610,1.120622,0.37413467463300804,0.0,5.0,37.392022999999995,12.417092766983302,0.0,165.95,771,255,Frozen
2496,0.891791,0.37657007295402206,0.0,2.0,11.960037,7.801180430131789,0.0,32.14,268,136,Refrigerated Grocery
98,2.043956,1.24643569974626,0.0,6.0,29.170329,17.7476619712475,0.0,86.34,91,75,Vitamins
3167,2.368686,1.5179697610201102,1.0,16.0,4.164772,2.6822118586244197,1.59,28.0,396,212,Body Care
1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,Body Care
2688,2.605309,1.62464635154105,0.0,18.0,16.196831,9.58164733669131,0.0,89.82,1130,273,Body Care
4044,0.590551,0.8003405099603009,0.0,3.0,4.499921,5.80814937825294,0.0,27.18,127,86,Packaged Grocery
2097,1.1185559999999999,1.0487426369372,0.0,15.0,22.129072,20.890387783029198,0.0,298.5,194,132,Packaged Grocery
11,1.153334,0.492864905059421,0.0,6.0,26.378707000000002,11.191524371294,0.0,136.38,5113,293,Refrigerated Grocery
3498,0.598958,0.5019323480554261,0.0,2.0,11.03,9.28976890362309,0.0,37.84,192,108,Packaged Tea
1689,1.0409549999999999,0.317894035627753,1.0,5.0,63.854641,21.0951841942571,0.0,308.7,293,172,Vitamins
