UniversalProductCode	AvgUnitsShipped	StdUnitsShipped	MinUnitsShipped	MaxUnitsShipped	AvgNetAmount	StdNetAmount	MinNetAmount	MaxNetAmount	NumberOfTransactions	NumberOfTransactionDays	GLCategory
008411411269	1.116956	0.6341175494695	0.000000	15.000000	17.077458	9.60197673726378	0.000000	227.250000	2471	285	Inventory - Packaged Grocery
085283400203	1.211062	0.740730791452674	0.000000	9.000000	13.895167	8.47272345781672	0.000000	102.870000	687	244	Inventory - Packaged Grocery
085146900014	1.048000	0.332536682429608	0.000000	3.000000	9.043120	12.6353579940859	0.000000	65.490000	125	38	Inventory - Packaged Tea
079452220089	1.046979	0.271915863818525	0.000000	4.000000	16.357281	4.24623383553904	0.000000	52.240000	894	251	Inventory - Packaged Tea
002399100010	1.033333	0.317119806621114	0.000000	3.000000	14.884666	4.48900180164159	0.000000	41.250000	60	52	Inventory - Packaged Tea
072225218061	0.864197	0.542058263006687	0.000000	2.000000	21.276049	13.297564596479	0.000000	53.140000	81	70	Inventory - Packaged Grocery
074139197385	0.916666	0.280305955290694	0.000000	1.000000	28.116944	8.66284737730842	0.000000	32.630000	36	33	Inventory - Packaged Tea
001878777208	2.948555	2.51141345690395	0.000000	31.000000	9.619323	8.11815756173933	0.000000	99.820000	1108	266	Inventory - Body Care
085122000361	0.870886	0.437225930446199	0.000000	4.000000	23.108645	11.7459991651964	0.000000	103.200000	790	244	Inventory - Refrigerated Grocery
085808900314	1.125786	0.388692755449544	1.000000	4.000000	28.542594	11.3568751537913	0.000000	89.080000	636	248	Inventory - Frozen
009396600011	0.965665	0.27640956842884	0.000000	2.000000	27.244592	7.77983971398429	0.000000	56.500000	233	141	Inventory - Refrigerated Grocery
089758000016	1.159544	1.09400435038466	0.000000	16.000000	21.358000	19.6504327137376	0.000000	308.000000	3955	284	Inventory - Packaged Grocery
004217519881	0.177777	0.441530853904339	0.000000	2.000000	1.433333	3.51046681692439	0.000000	14.920000	45	37	Inventory - Packaged Grocery
083418300300	1.045977	0.243754888409119	0.000000	3.000000	24.296283	5.71350919212844	0.000000	61.410000	261	166	Inventory - Frozen
085808900306	1.063047	0.295245104501881	0.000000	4.000000	28.129789	7.95967800391433	0.000000	94.200000	1142	264	Inventory - Frozen
037140070201	2.024305	1.09930269490313	0.000000	6.000000	12.462708	6.7876485712784	0.000000	37.680000	288	165	Inventory - Vitamins
085863800418	0.639880	0.571527399058795	0.000000	4.000000	11.927916	12.8121954428067	0.000000	79.360000	336	138	Inventory - Packaged Grocery
007852204011	2.109017	1.19645116681466	0.000000	8.000000	13.355127	7.60768634961656	0.000000	50.400000	743	254	Inventory - Body Care
072243070016	1.030386	0.623576739339107	0.000000	6.000000	26.322313	15.8868609864852	0.000000	152.400000	1448	274	Inventory - Refrigerated Grocery
008411411581	1.152173	0.94889159386992	0.000000	8.000000	31.758405	25.7785039342015	0.000000	222.240000	276	152	Inventory - Packaged Grocery
007750214615	1.039419	0.310090313932904	0.000000	6.000000	24.900497	6.69602225927223	0.000000	125.400000	482	220	Inventory - Packaged Grocery
004256360333	0.162011	0.368718635334339	0.000000	1.000000	3.710083	8.45356822042051	0.000000	27.400000	716	196	Inventory - Packaged Grocery
084223400092	0.545454	0.971175482691886	0.000000	3.000000	20.773333	37.0394113299154	0.000000	115.320000	33	31	Inventory - Frozen
008819434005	0.991257	0.784184910737298	0.000000	8.000000	7.950901	6.17729479113939	0.000000	66.800000	4461	292	Inventory - Refrigerated Grocery
009370930050	0.987878	0.155699788832304	0.000000	2.000000	21.701333	3.64475040688054	0.000000	37.940000	165	117	Inventory - Packaged Grocery
004256360118	1.035494	0.225059594736127	0.000000	4.000000	17.349296	3.91705164157045	0.000000	67.240000	1465	273	Inventory - Packaged Grocery
073215302849	0.179487	0.386243639668214	0.000000	1.000000	7.450641	16.0355362137246	0.000000	43.310000	78	42	Inventory - Packaged Grocery
064981500050	1.071278	0.44338395049316	0.000000	3.000000	9.147358	4.07401085373377	0.000000	28.830000	477	220	Inventory - Packaged Grocery
007852202025	1.803738	1.09148864479542	0.000000	6.000000	8.263644	4.97641647422383	0.000000	28.200000	214	142	Inventory - Body Care
005138188525	1.250000	1.29623784782714	0.000000	6.000000	7.556818	7.83672623055603	0.000000	36.120000	44	40	Inventory - Body Care
007321400747	1.112938	0.539715057319175	0.000000	8.000000	21.295175	9.19982757509937	0.000000	129.840000	912	249	Inventory - Packaged Grocery
004157005244	1.101382	0.484253599382399	0.000000	6.000000	27.845414	12.154111287551	0.000000	159.360000	434	210	Inventory - Packaged Grocery
037140055204	2.884615	1.60815230813311	0.000000	6.000000	13.616153	7.67196719332041	0.000000	29.160000	26	25	Inventory - Vitamins
006727500035	1.097762	0.42460546051315	0.000000	4.000000	15.695842	5.38433097739319	0.000000	50.400000	849	248	Inventory - Packaged Grocery
085321800022	2.651785	1.88317936212394	0.000000	12.000000	16.545357	17.7572590059814	0.000000	115.320000	224	116	Inventory - Vitamins
070617302015	1.066882	0.377346209978428	0.000000	7.000000	18.835868	6.58500922689544	0.000000	123.340000	927	258	Inventory - Packaged Grocery
085688520082	3.879487	3.35834757745413	1.000000	24.000000	8.126846	7.19421476030579	0.000000	53.040000	390	172	Inventory - Body Care
085062800254	2.134487	1.67069517571971	1.000000	16.000000	32.485672	23.6418883970921	0.000000	219.680000	751	243	Inventory - Vitamins
074515820050	1.391304	1.0215078369105	0.000000	3.000000	11.995434	8.79034816818278	0.000000	26.430000	46	41	Inventory - Body Care
071623718228	2.351351	1.04140332461582	1.000000	6.000000	9.788828	4.24043517036524	3.610000	25.800000	111	90	Inventory - Body Care
006727500896	1.070175	0.371274307660552	0.000000	3.000000	13.205087	7.26489949856917	0.000000	39.300000	57	49	Inventory - Packaged Grocery
008131261000	1.111305	0.437152644942229	0.000000	4.000000	14.543479	5.64873419243808	0.000000	57.040000	1716	277	Inventory - Refrigerated Grocery
060265217006	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	265	180	Inventory - Packaged Grocery
085404900224	2.593466	2.70194751948557	0.000000	48.000000	11.988911	11.2519910718949	0.000000	144.000000	1102	257	Inventory - Body Care
002188810111	0.990797	1.13269235776878	0.000000	6.000000	13.854570	15.7295145105653	0.000000	81.300000	326	190	Inventory - Vitamins
081498500002	1.199834	1.24171301530243	0.000000	8.000000	36.779207	23.2564870331509	0.000000	189.760000	1211	252	Inventory - Packaged Grocery
074127320531	1.411764	0.962838939558124	0.000000	6.000000	12.214705	7.12549909913437	0.000000	46.740000	51	46	Inventory - Vitamins
007834701181	2.517241	1.81374435265567	0.000000	36.000000	14.322578	16.4579430255611	0.000000	308.080000	2059	280	Inventory - Body Care
078696901002	1.075438	0.955748623434332	0.000000	18.000000	121.729736	108.497240113438	0.000000	2050.020000	570	204	Inventory - Packaged Grocery
085807800301	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	33	32	Inventory - Packaged Grocery
009232511111	1.070984	0.304380696037704	0.000000	4.000000	24.532599	6.99652890864866	0.000000	91.240000	1127	262	Inventory - Packaged Grocery
002836783099	0.192307	0.98058067569092	0.000000	5.000000	0.607692	3.09863493518331	0.000000	15.800000	26	26	Inventory - Body Care
075764501810	1.012861	0.138523935915392	0.000000	2.000000	23.302508	3.73230649250127	0.000000	47.960000	311	183	Inventory - Packaged Grocery
089685900020	0.116731	0.3217266313065	0.000000	1.000000	2.474046	6.85377530300354	0.000000	23.290000	257	130	Inventory - Packaged Grocery
004150706576	2.452526	1.84858994861809	0.000000	24.000000	12.127006	8.70136769070537	0.000000	118.560000	1306	272	Inventory - Body Care
005138188636	3.033749	2.0986058483538	0.000000	24.000000	11.761870	8.05599793558105	0.000000	92.160000	1363	271	Inventory - Body Care
007468211142	1.140046	0.677441850046808	0.000000	12.000000	16.185810	8.53035661900241	0.000000	143.520000	864	240	Inventory - Packaged Grocery
007989653602	3.048728	2.25727379926717	0.000000	15.000000	7.718114	5.66688129139365	0.000000	37.500000	472	213	Inventory - Body Care
007581000425	1.010035	0.352888174522985	0.000000	6.000000	18.176995	6.40065642888228	0.000000	106.920000	1694	275	Inventory - Packaged Grocery
085997502004	2.215789	1.43055895938218	0.000000	12.000000	12.841859	7.99995457245143	0.000000	64.440000	570	220	Inventory - Body Care
005138188113	2.152482	1.82552411662959	0.000000	24.000000	10.718439	8.44208018450125	0.000000	103.200000	282	167	Inventory - Body Care
085068710400	1.676967	2.2131459843915	0.000000	50.000000	85.792414	105.948169105812	0.000000	2439.500000	2071	275	Inventory - Packaged Grocery
004195400013	0.749049	0.52942883798859	0.000000	4.000000	12.047072	8.55999956428518	0.000000	65.080000	263	166	Inventory - Vitamins
004227200043	0.979073	0.184301732257678	0.000000	2.000000	32.131375	6.13124716715317	0.000000	66.920000	1338	279	Inventory - Frozen
072037950451	1.189964	1.08775377365101	0.000000	10.000000	15.896308	17.3253169329022	0.000000	150.400000	279	92	Inventory - Packaged Grocery
018194500041	1.083333	0.825226745203511	0.000000	10.000000	13.668750	11.1950299018117	0.000000	138.600000	408	198	Inventory - Packaged Grocery
063687422038	2.328263	2.04764930260393	0.000000	18.000000	10.759911	8.69785615205638	0.000000	97.740000	789	231	Inventory - Body Care
089685900021	0.190311	0.515498922203308	0.000000	6.000000	3.893044	10.1114453715303	0.000000	109.020000	289	142	Inventory - Packaged Grocery
071612312572	1.266666	2.12019765475724	0.000000	6.000000	5.700000	9.86403858178065	0.000000	29.100000	15	14	Inventory - Packaged Grocery
009232533330	1.081481	0.287057927657163	1.000000	3.000000	17.170648	4.38644684290773	12.470000	48.600000	540	204	Inventory - Packaged Grocery
003377602730	1.033203	0.222996332636888	0.000000	3.000000	15.316787	3.3039555856303	0.000000	45.060000	1024	270	Inventory - Refrigerated Grocery
087352100251	0.272727	0.646669790682863	0.000000	2.000000	5.457272	12.9398625115641	0.000000	40.020000	11	11	Inventory - Packaged Grocery
007290400004	0.278688	0.452074755653812	0.000000	1.000000	8.680655	14.0814830976537	0.000000	31.370000	61	58	Inventory - Packaged Grocery
001878810109	0.996850	0.079367579013255	0.000000	2.000000	34.464330	3.17312949211648	0.000000	74.080000	635	241	Inventory - Packaged Grocery
004256360298	1.124917	0.935552426664369	1.000000	30.000000	19.838122	16.570266481341	0.000000	530.100000	1513	281	Inventory - Packaged Grocery
085055100512	1.231046	0.820648965598204	0.000000	8.000000	23.738483	15.6152501227119	0.000000	160.400000	554	219	Inventory - Packaged Grocery
003701400049	1.550785	1.39201283308213	0.000000	20.000000	34.136381	30.4478301296278	0.000000	450.400000	2609	283	Inventory - Packaged Grocery
088868310608	0.428571	0.534522483824849	0.000000	1.000000	10.190000	12.7101298183772	0.000000	24.030000	7	7	Inventory - Packaged Grocery
008983618517	2.903183	1.53140317950482	1.000000	8.000000	9.120928	4.75852923338542	1.810000	24.560000	754	251	Inventory - Packaged Grocery
072474200381	3.092105	2.81913850879173	0.000000	24.000000	21.908947	20.1081836543866	0.000000	185.040000	456	160	Inventory - Body Care
002188810892	2.133477	1.95182163138101	0.000000	36.000000	39.004884	32.9600839856402	0.000000	480.600000	1386	266	Inventory - Vitamins
005844986002	1.211502	0.728966119663168	1.000000	6.000000	37.698014	16.5279713443043	0.000000	191.400000	539	204	Inventory - Packaged Grocery
008983618521	1.137404	0.615262675345468	0.000000	6.000000	19.085419	10.2817238208368	0.000000	101.460000	786	256	Inventory - Packaged Grocery
089758000014	1.034168	0.590038059925175	0.000000	8.000000	38.034601	21.9233604847311	0.000000	304.240000	439	181	Inventory - Packaged Grocery
648649255971	0.968488	1.02026301344104	-2.000000	10.000000	49.421395	44.3914203202086	-109.820000	260.800000	258	154	Inventory - Meat
005138191144	2.999230	2.0373720092272	0.000000	24.000000	8.213836	5.43688790203951	0.000000	55.920000	2599	288	Inventory - Body Care
007073405319	1.006849	0.361299208564722	0.000000	3.000000	11.780616	4.23587853610675	0.000000	31.620000	292	170	Inventory - Packaged Tea
085056300247	1.172897	0.537157074260144	1.000000	4.000000	21.097523	9.79867292247306	0.000000	74.200000	428	174	Inventory - Packaged Grocery
002188810992	2.043111	1.31166539433153	0.000000	12.000000	42.554461	27.1074337880114	0.000000	246.480000	1067	268	Inventory - Vitamins
070816331005	1.285714	1.25356634105602	0.000000	4.000000	17.832857	12.1821874257537	0.000000	24.980000	7	7	Inventory - Frozen
005138191108	2.552419	1.66107036437228	0.000000	12.000000	4.528733	2.94282434111267	0.000000	23.280000	1240	266	Inventory - Body Care
002171841278	3.457002	1.58424940114193	0.000000	12.000000	16.381744	7.89184667829132	0.000000	63.480000	407	215	Inventory - Packaged Grocery
005260305462	1.099882	0.574466492392129	0.000000	8.000000	30.870199	15.966227786323	0.000000	233.600000	851	229	Inventory - Packaged Grocery
085990800312	1.013392	0.571991334832652	0.000000	5.000000	28.791651	16.5124113789102	0.000000	123.280000	224	151	Inventory - Packaged Grocery
009396600029	1.014154	0.183831033020965	0.000000	3.000000	29.316645	5.65566362951339	0.000000	86.280000	1413	277	Inventory - Refrigerated Grocery
079570909514	0.746825	0.504339627984242	0.000000	3.000000	13.632761	9.24057596435178	0.000000	46.590000	1260	265	Inventory - Refrigerated Grocery
009830822844	1.000000	NULL	1.000000	1.000000	12.510000	NULL	12.510000	12.510000	1	1	Inventory - Packaged Grocery
002418202910	1.310344	1.59164485150844	0.000000	20.000000	39.189369	45.5376269845947	0.000000	556.400000	841	244	Inventory - Packaged Grocery
085149200203	0.612090	0.508170527171389	0.000000	2.000000	26.993098	22.8256421291716	0.000000	96.060000	397	164	Inventory - Packaged Grocery
002250600240	1.024667	0.198278316166149	1.000000	4.000000	75.159677	15.0677876544862	0.000000	264.200000	527	213	Inventory - Packaged Grocery
002818920466	0.946372	0.264385650880464	0.000000	2.000000	27.642492	8.2162416203915	0.000000	63.880000	317	188	Inventory - Packaged Grocery
085352200080	1.045694	0.287080835866727	0.000000	4.000000	23.155905	5.71663700614195	0.000000	62.280000	569	231	Inventory - Packaged Grocery
085177000319	1.137690	1.22801199334751	0.000000	18.000000	24.170228	25.092432630434	0.000000	341.460000	1576	272	Inventory - Vitamins
005215900011	1.057394	0.412322648871095	0.000000	5.000000	18.047812	6.86874896074183	0.000000	78.950000	1934	280	Inventory - Refrigerated Grocery
081725201016	1.202702	0.467571098680578	1.000000	3.000000	28.496621	11.2269076576544	21.190000	73.380000	74	68	Inventory - Packaged Grocery
086054700000	6.000000	NULL	6.000000	6.000000	145.260000	NULL	145.260000	145.260000	1	1	Inventory - Vitamins
005498617470	2.543859	2.54217644499205	0.000000	12.000000	9.976578	9.76848144727458	0.000000	42.000000	114	90	Inventory - Body Care
074599899018	1.543976	1.25337084490227	0.000000	20.000000	36.217052	28.4171655155834	0.000000	430.600000	2399	278	Inventory - Packaged Grocery
007093499617	1.000000	0.471404520791032	0.000000	2.000000	41.766000	20.1175629184496	0.000000	85.000000	10	9	Inventory - Frozen
003098500690	2.015384	1.80432132180485	0.000000	6.000000	30.177769	27.4931722395087	0.000000	93.900000	130	98	Inventory - Body Care
081166002043	1.272727	1.16569793456159	0.000000	10.000000	34.779480	28.5871350295946	0.000000	239.200000	77	62	Inventory - Vitamins
065762281584	1.090643	0.829877760018045	0.000000	10.000000	12.254049	8.58656750717996	0.000000	102.600000	684	241	Inventory - Packaged Grocery
001251121442	0.997045	0.171979820185505	0.000000	2.000000	46.873412	9.01638149335743	0.000000	99.240000	677	254	Inventory - Packaged Grocery
073291313737	1.250753	2.95832638267425	0.000000	75.000000	46.509608	83.8598753231907	0.000000	2103.750000	1328	266	Inventory - Packaged Grocery
072243050016	1.125175	0.642338493338417	0.000000	8.000000	28.850839	16.3533081605627	0.000000	203.200000	5696	293	Inventory - Refrigerated Grocery
616973007528	1.239057	0.592825734463638	-1.000000	4.000000	68.752154	32.69925806151	-55.850000	223.400000	297	177	Inventory - Meat
074917409728	1.357601	0.977516027242711	0.000000	10.000000	15.665674	11.4850571010711	0.000000	121.800000	467	145	Inventory - Packaged Grocery
073291313722	1.115812	1.19520781244186	0.000000	25.000000	50.200267	53.3970567417195	0.000000	1117.000000	449	190	Inventory - Packaged Grocery
071627004001	1.500362	1.28498231179155	0.000000	20.000000	25.498425	21.4200344671883	0.000000	370.200000	2756	286	Inventory - Packaged Grocery
063687412150	2.764496	2.691609983078	0.000000	24.000000	12.899944	12.3604766267169	0.000000	97.740000	1966	263	Inventory - Body Care
005260306438	1.214285	1.67585459179382	1.000000	15.000000	28.084857	34.2835744142436	0.000000	308.700000	70	60	Inventory - Packaged Grocery
074515830051	1.024834	0.30098644742223	0.000000	3.000000	11.052963	3.2874115378065	0.000000	33.090000	604	231	Inventory - Packaged Grocery
007101207502	1.008771	0.143005897900709	0.000000	2.000000	29.720146	4.34690630296014	0.000000	60.120000	342	187	Inventory - Packaged Grocery
085626200516	0.747474	0.907378308515233	0.000000	5.000000	11.856767	16.7441436504926	0.000000	88.600000	99	75	Inventory - Packaged Grocery
007321400726	1.070116	0.44992584268137	0.000000	7.000000	9.664974	4.07876087293299	0.000000	57.660000	599	239	Inventory - Packaged Grocery
004227201096	0.977443	0.193303240090022	0.000000	2.000000	24.222706	4.94188792409061	0.000000	49.940000	133	108	Inventory - Frozen
081166002080	0.770833	0.592132221193786	0.000000	3.000000	21.473541	16.540368604499	0.000000	83.460000	48	42	Inventory - Vitamins
003574222102	1.205882	0.87636324115972	1.000000	6.000000	23.649588	7.55587230823295	6.090000	84.320000	170	107	Inventory - Packaged Grocery
076566752693	1.000000	0	1.000000	1.000000	20.200217	1.35503257710825	16.830000	21.450000	46	44	Inventory - Packaged Grocery
073215302921	1.247706	0.628894686767603	0.000000	4.000000	23.175657	11.8746609681844	0.000000	64.260000	327	90	Inventory - Packaged Grocery
081289102069	1.151832	0.727638063002636	0.000000	7.000000	13.085759	8.5109365756257	0.000000	80.010000	191	137	Inventory - Packaged Grocery
072822914029	1.131284	0.845187476412688	0.000000	14.000000	21.175605	16.7905139546067	0.000000	238.560000	1074	214	Inventory - Packaged Grocery
071833422111	1.891402	1.29956152584185	1.000000	12.000000	15.697918	10.6401549659094	0.000000	104.040000	442	214	Inventory - Body Care
001356200241	1.113263	0.400357959812281	0.000000	4.000000	41.630342	15.3744251983884	0.000000	154.600000	671	221	Inventory - Packaged Grocery
002392320601	0.797814	0.41615142586273	0.000000	2.000000	19.722513	10.8920994766586	0.000000	42.800000	183	134	Inventory - Frozen
078500232413	1.022624	0.215209563729142	0.000000	4.000000	38.794102	8.36123175355125	0.000000	151.920000	663	240	Inventory - Frozen
085094100601	0.961538	0.344182420326109	0.000000	2.000000	19.558846	7.23943165002507	0.000000	42.240000	26	25	Inventory - Packaged Grocery
004256360358	1.254080	1.36396211659683	0.000000	40.000000	21.339461	23.2585188005952	0.000000	681.600000	2267	284	Inventory - Packaged Grocery
004217519727	0.484848	0.613750744757167	0.000000	3.000000	5.958939	7.61670999615327	0.000000	39.120000	66	33	Inventory - Packaged Grocery
008983618261	3.167832	1.73605516068176	0.000000	11.000000	13.543706	7.30762641165269	0.000000	46.640000	143	112	Inventory - Packaged Grocery
089806200100	3.450000	3.4928498393146	0.000000	18.000000	7.414375	7.53633608789754	0.000000	37.440000	80	55	Inventory - Body Care
035497331471	1.684210	1.28393778688903	0.000000	6.000000	10.130175	7.76971489898624	0.000000	36.600000	57	53	Inventory - Vitamins
007321400753	0.225274	0.444510633297523	0.000000	2.000000	2.759780	5.43867925103409	0.000000	22.860000	182	116	Inventory - Packaged Grocery
004157004428	1.256672	1.49580096666881	0.000000	66.000000	29.954525	32.1308339610866	0.000000	1340.460000	3222	290	Inventory - Packaged Grocery
072243017016	1.089756	0.737181367732296	0.000000	9.000000	27.778504	18.5594072673716	0.000000	228.600000	1972	275	Inventory - Refrigerated Grocery
004956854008	0.544502	0.53634229279352	0.000000	3.000000	10.306505	10.1514612554649	0.000000	57.060000	764	237	Inventory - Refrigerated Grocery
025317103008	0.917910	0.630658742014411	-3.000000	3.000000	51.825223	21.1990744344777	-54.760000	159.480000	268	153	Inventory - Meat
089958700027	0.650442	0.54725560045746	0.000000	2.000000	8.396106	7.11103510935295	0.000000	25.980000	226	156	Inventory - Packaged Grocery
007224829204	0.461538	0.60026984485286	0.000000	2.000000	13.870769	18.387470903711	0.000000	65.140000	39	37	Inventory - Packaged Grocery
002836783101	3.582446	8.84856962436094	0.000000	100.000000	10.884707	26.6028970737058	0.000000	315.000000	376	206	Inventory - Body Care
003367411750	1.872093	0.988785203383714	1.000000	5.000000	6.940058	3.65293385206935	3.640000	18.500000	172	126	Inventory - Vitamins
087449200137	1.175097	0.605757375783534	0.000000	6.000000	26.986634	13.3983905435096	0.000000	129.600000	514	200	Inventory - Packaged Grocery
085340400268	0.983720	0.558323714546479	0.000000	6.000000	19.114976	10.6027497641214	0.000000	99.360000	860	260	Inventory - Refrigerated Grocery
083418300109	1.014285	0.267357017311274	0.000000	3.000000	23.881071	6.23773729727884	0.000000	61.410000	280	159	Inventory - Frozen
085107000600	0.717482	0.468819765723619	0.000000	2.000000	22.815188	15.1122680259208	0.000000	67.220000	715	231	Inventory - Refrigerated Grocery
